,index,raw_row_number,date,time,location,lat,lng,precinct,reporting_area,zone,subject_age,subject_race,subject_sex,officer_id_hash,type,violation,arrest_made,citation_issued,warning_issued,outcome,contraband_found,contraband_drugs,contraband_weapons,frisk_performed,search_conducted,search_person,search_vehicle,search_basis,reason_for_stop,vehicle_registration_state,notes,raw_verbal_warning_issued,raw_written_warning_issued,raw_traffic_citation_issued,raw_misd_state_citation_issued,raw_suspect_ethnicity,raw_driver_searched,raw_passenger_searched,raw_search_consent,raw_search_arrest,raw_search_warrant,raw_search_inventory,raw_search_plain_view
566,783087,1191487,2013-01-31,15600.0,"380 HARDING PL, NASHVILLE, TN, 37211",36.0831152,-86.7127647,3,8419.0,317,33.0,white,male,4ab7251c91,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,,True,False,False,False,N,False,False,False,False,False,False,False
567,2759555,2539723,2016-08-21,120.0,"S 10TH ST & SHELBY AVE, NASHVILLE, TN, 37206",36.1713641,-86.7523097,2.0,1125.0,213.0,26.0,white,male,4c0722bb4a,vehicular,vehicle equipment violation,False,False,True,warning,,,,False,False,False,False,,vehicle equipment violation,TN,,True,False,False,False,N,False,False,False,False,False,False,False
568,403415,10461,2010-01-14,45060.0,"BELL RD & MOUNT VIEW RD, ANTIOCH, TN, 37013",36.0499121,-86.6493475,3.0,8863.0,333.0,21.0,black,female,574bf5f5d3,vehicular,seatbelt violation,False,False,True,warning,,,,False,False,False,False,,seatbelt violation,FL,,True,False,False,,N,False,False,False,False,False,False,False
569,1475308,1607783,2014-02-03,23640.0,"BELL RD & SMITH SPRINGS RD, NASHVILLE, TN, 37217",36.0903135,-86.6265129,5,8987.0,533,30.0,white,female,0a0f0a25d5,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,ROLLED THROUGH STOP SIGN AT INTERSECTION OF EDGE O LAKE AND BELL RD,True,False,False,False,N,False,False,False,False,False,False,False
570,1225874,3015993,2018-07-15,10860.0,"BRILEY PKWY N & MURFREESBORO PIKE, NASHVILLE, TN, 37217",36.122074,-86.702419,3.0,88981.0,315.0,56.0,asian/pacific islander,male,be82d6c6cf,vehicular,safety violation,False,False,True,warning,,,,False,False,False,False,,safety violation,TN,,True,,False,False,N,False,False,False,False,False,False,False
571,1475418,1607840,2014-02-03,29880.0,"I 24 E & BRILEY PKWY N, NASHVILLE, TN, 37211",36.1095998,-86.7202021,3,8404.0,313,30.0,white,female,d098ec755c,vehicular,moving traffic violation,False,True,False,citation,,,,False,False,False,False,,moving traffic violation,TN,,False,False,True,False,N,False,False,False,False,False,False,False
572,839019,2349939,2016-01-08,55080.0,"MM 0 6 I440 E, NASHVILLE, TN, 37209",,,1.0,52320.0,113.0,25.0,white,female,4265ea192b,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,,True,False,False,False,N,False,False,False,False,False,False,False
573,233060,311039,2010-11-01,34800.0,"I 40 W & CHARLOTTE AVE, NASHVILLE, TN, 37203",36.1524726,-86.833841,4.0,4202.0,411.0,21.0,white,female,b96df3310a,vehicular,moving traffic violation,False,True,False,citation,,,,False,False,False,False,,moving traffic violation,TN,,False,False,True,,N,False,False,False,False,False,False,False
574,278440,2300672,2015-11-16,51900.0,", , ,",,,,,,50.0,white,male,4265ea192b,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,,True,False,False,False,N,False,False,False,False,False,False,False
575,189964,613809,2011-10-07,44100.0,"I 65 N & OLD HICKORY BLVD, BRENTWOOD, TN, 37027",36.0391614,-86.7844183,8.0,8604.0,833.0,56.0,white,male,0c43101255,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,,True,False,False,,N,False,False,False,False,False,False,False
576,723000,2010332,2015-01-26,43080.0,"MM 198 8 I40 E, NASHVILLE, TN, 37209",,,1.0,48062.0,125.0,65.0,white,male,c05e130f6a,vehicular,moving traffic violation,False,True,False,citation,,,,False,False,False,False,,moving traffic violation,TN,,False,False,True,False,N,False,False,False,False,False,False,False
577,169973,609898,2011-10-04,60240.0,"HEAD DR & OLD HICKORY BLVD W, MADISON, TN, 37115",36.2642108,-86.733848,7.0,1777.0,723.0,26.0,white,male,2022e55034,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,,True,False,False,,N,False,False,False,False,False,False,False
578,3028877,2259617,2015-09-28,45420.0,"MM 80 6 I65 S, NASHVILLE, TN, 37204",,,8.0,69020.0,823.0,42.0,white,female,b908cb6e33,vehicular,moving traffic violation,False,False,True,warning,,,,False,False,False,False,,moving traffic violation,TN,,True,False,False,False,N,False,False,False,False,False,False,False
579,296318,1089815,2012-11-19,43260.0,"HICKORY INDUSTRIAL DR & ROBINSON RD, OLD HICKORY, TN, 37138",36.2666644,-86.6700531,5.0,9611.0,525.0,58.0,white,male,596bd1105e,vehicular,vehicle equipment violation,False,False,True,warning,,,,False,False,False,False,,vehicle equipment violation,TN,,True,False,False,False,N,False,False,False,False,False,False,False
